Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiVr-1,368,,,,JiVr-1:52-2a JiVr-1:368,, Copper tinkler,,11,,,,Yukon Territory,24.92,8.24,1.18,1.1,y,28-0080,yes, artifact is labeled JiVs-1:368,,,,,,,2015,,CMH,1959,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiVr-1,?,,,,JiVr-1:?,,Tanged copper point,,09,02,,,Yukon Territory,,,,,,,?,,,,,,,,2015,,CMH,1959,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiVr-1,37-2d,,,,JiVr-1:37-2d,, Copper pin,,,02,,,Yukon Territory,,,,,,,missing,missing,,,,,,,2015,,CMH,1959,"MacNeish , Ph.D, Dr. Richard Stockton - National Museum of Man",1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JiVt-#,269 (JiVt),,,,XI-B:269 (JiVt),,copper spear,,09,,,,Yukon Territory,162.09,16.93,6.28,33.3,y,30-0057,yes,elongated spear point. Circular tang.  No corrosion or oxidation whatsoever,very pure signal,,"Desc. - copper spear. Location - 3 miles upstream on Barwash Creek, mile 1104, Alaska Highway, Yukon.  Collector - Mrs. Seaholme of Whitehorse. Date - Oct 25, 1948. Acc. - 748. Remarks - 61° 25' N, 139° 14' W, JiVt",,,,2015,,CMH,1948,"Seaholme, Mrs.",748,,,,,"3 miles upstream, on Barwash Creek, mile 1104, Alaska Highway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-1,29,,,,JjVi-1:29,,copper point,01,15,01,,,Yukon Territory,32.07,13.44,2.64,3.4,y,28-0075,yes,"very odd shaped point, possibly a basal tang from a much larger piece.  Fractured on the non-pointy end.  Point is unsharpened",,,,,,,2015,,CMH,1972,"Gates, Michael",1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,71,,,,JjVi-7:71,,copper fragment,,,,,,Yukon Territory,23.58,7.55,1.6,1.1,y,28-0070,yes,possible a very rough bar blank,,,,,,,2015,,CMH,1966,"Cook, J. P.",1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,181,,,,JjVi-7:181,,copper fragment,,,02,,,Yukon Territory,,,,,,,missing,missing,,,,,,,2015,,CMH,1966,"Cook, J. P.",1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,200,,,,JjVi-7:200,,2 copper fragments,,,,,,Yukon Territory,na,na,1.89,2.9,y,28-0303,yes,1 copper fragment and a hopeful note from 1987 for the return of the other.  Fragment appears to be a hammered nugget,,,,,,,2015,,CMH,1966,"Cook, J. P.",1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,669,,3,"3 fragments, 1 number",JjVi-7:669,,3 pieces copper,,,,,,Yukon Territory,,,0.68,0.5,y,28-0280,yes,"3 small fragments.  1 definitely hammered, the others are to small to tell, probably wastage flakes.  Could easily be historic too, to small to tell",,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,713,,,,JjVi-7:713,,"long copper awl or prong, rectangular X-section",,06,02,,,Yukon Territory,,,,,,,missing,maybe missing? Pulled 'JjVi-1:713-715',,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,714,,,,JjVi-7:714,,pointed copper tip fragment,,,02,,,Yukon Territory,,,,,,,missing,maybe missing? Pulled 'JjVi-1:713-715',,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,715,,,,JjVi-7:715,,lump of copper,,01,05,,,Yukon Territory,,,5.22,4.7,y,28-0278,yes,maybe hammered nugget,,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,758,,,,JjVi-7:758,,copper gorge,,06,,,,Yukon Territory,30.69,6.7,2.02,1,y,28-0300,yes,"rectangular X section, flat, diamond shaped shaft.  One end tapers to a point, the other appears to have been folded and hammered some.  This end is bent, probably not intentional in the original form",,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,938,,,,JjVi-7:938,,copper point,,06,,,,Yukon Territory,41.01,6.26,3.19,2.4,y,28-0287,yes,"not a point.  Barb/awl.  Tapers to point at one end.  Other end appears to be flattened and also tapers to a shorter, stubbier point",,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,1255,,,,JjVi-7:1255,,native copper,,01,05,,,Yukon Territory,,,,0.2,y,1-0620,yes,wastage flake picture missing?,,,,,,,2015,,CMH,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-7,1555,,,,JjVi-7:1555,,copper fragment,,06,,,,Yukon Territory,40.69,6.53,2.27,2.6,y,28-0272,yes,fragmentary awl/barb/tang.  Rectangular X section.  Tapers to rough point. Fractured at the wide end (broken tang?),,,,,,,2015,,CMH,1976,"Wilmeth , Ph.D, Dr. Roscoe Hall",2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVi-8,183,,,,JjVi-8:183,,copper fragment,,01,07,,,Yukon Territory,na,na,0.35,0.9,y,28-0267,yes,"very flat fragment, could be hammered native sheet, unsure",,,,,,,2015,,CMH,1976,"Wilmeth , Ph.D, Dr. Roscoe Hall",2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVj-1,4,,,,JjVj-1:4,,copper fragment?,,01,07,,,Yukon Territory,,,0.49,2.6,y,28-0276,yes,"unsure if historic or native.  Looks historic, has been folded and hammered flat again",,,,,,,2015,,CMH,1968,"Workman, William Bates",1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JjVj-1,12,,,,JjVj-1:12,,copper blade,,09,,,,Yukon Territory,30.97,9.59,1.2,1.3,y,28-0293,yes,"elongated, leaf shaped point, pointed tip.  Basal end is fractured, unsure of basal/tang morphology",,,,,,,2015,,CMH,1976,"Wilmeth , Ph.D, Dr. Roscoe Hall",2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,2,a,2,native piece,KbNa-16:2,,"copper fragments, native?",,,,,,NWT,na,na,na,0.7,y,1846,yes,2 fragments.  One is a clean signal and one is historic.  Larger piece is historic.  Smaller piece looks like production flake.  Wieght is only smaller piece,one clean signal and one historic,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,3,a,6,"6 objects in artifact number, some variation in form",KbNa-16:3,,"copper fragments, European?",,10,,,,NWT,,,0.48,2.4,y,1842,yes,"6 fragments, thickness is of largest, wieght combined.  Pieces are variable enough that they are likely not sheet, they are probably hammered nuggets",xrf says clean signal,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,3,b,see above,"6 objects in artifact number, some variation in form",KbNa-16:3,,"copper fragments, European?",,10,,,,NWT,,,,see above,y,1842,yes,"6 fragments, thickness is of largest, wieght combined.  Pieces are variable enough that they are likely not sheet, they are probably hammered nuggets",xrf says clean signal,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,3,c,see above,"6 objects in artifact number, some variation in form",KbNa-16:3,,"copper fragments, European?",,01,06,,,NWT,,,,see above,y,1842,yes,"6 fragments, thickness is of largest, wieght combined.  Pieces are variable enough that they are likely not sheet, they are probably hammered nuggets",xrf says clean signal,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,3,d,see above,"6 objects in artifact number, some variation in form",KbNa-16:3,,"copper fragments, European?",,01,05,,,NWT,,,,see above,y,1842,yes,"6 fragments, thickness is of largest, wieght combined.  Pieces are variable enough that they are likely not sheet, they are probably hammered nuggets",xrf says clean signal,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,3,e,see above,"6 objects in artifact number, some variation in form",KbNa-16:3,,"copper fragments, European?",,01,05,,,NWT,,,,see above,y,1842,yes,"6 fragments, thickness is of largest, wieght combined.  Pieces are variable enough that they are likely not sheet, they are probably hammered nuggets",xrf says clean signal,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNa-16,3,f,see above,"6 objects in artifact number, some variation in form",KbNa-16:3,,"copper fragments, European?",,01,05,,,NWT,,,,see above,y,1842,yes,"6 fragments, thickness is of largest, wieght combined.  Pieces are variable enough that they are likely not sheet, they are probably hammered nuggets",xrf says clean signal,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KbNb-4,4,,,,KbNb-4:4,,copper fragments,,01,05,,,NWT,na,na,na,0.4,y,1856,yes,1 production flake,,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of CivilizationMorrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2077,,,,,surface,"""p"" blinds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KcNg-3,37,,,,KcNg-3:37,,copper lance head (late talth?),01,09,,,,NWT,125.89,25.79,4.78,52,y,1835,yes,"very thick 'lance head'.  Im less familiar with talthalei.  Tang is very wide, and tapers to an edge at the proximal end of the tang",,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,371,,,,KeNi-4:371,,copper piece,,10,,,,NWT,84.75,15.63,1.87,6.9,y,1814,yes,"possible rough blade - long strip, both edges blunt",,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1311,,,,KeNi-4:1311,,copper blade - late talth.,,15,,,,NWT,119.33,24.9,1.31,19.3,y,1796,yes,"hole in center, slightly offset.  (3.29 x 3.95 dia - ovoid) could have been sharp on either end, but slightly blunted now",,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,7,,,,KeNi-4C:7,,copper frags.,,,02,,,NWT,,,,,,,missing,blue note - missing?,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1-32,,,,KeNi-4C:1-32,,lge. copper pc. (joins KeNi-4C:1-31),,01,04,,,NWT,na,na,6.01,48.6,y,1792,yes,KeNi-4C:1-32 and KeNi-4C:1-31 joined (not including separate KeNi-4C:1-31),,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1-51,,,,KeNi-4C:1-51,,copper frag.,,01,05,,,NWT,na,na,1.4,0.7,y,1844,yes,small hammered nugget,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-54,,,,KeNi-4C:3-54,,copper needle,,06,,,,NWT,44.23,5.92,2.06,1.6,y,1907,yes,awl/barb - one end has been hammered flat (down to 0.64 from 2.06),,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-55,,,,KeNi-4C:3-55,,worked copper pc.,,09,,,,NWT,35.58,8.6,2.59,2.6,y,1911,yes,"flattened awl/barb.  Very rectangular in cross section, very rough.  Maybe not anything formalized",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-56,,,,KeNi-4C:3-56,,worked copper pc. (proj. pt.?),,09,,,,NWT,33.54,11.36,1.71,1.7,y,1900,yes,fractured knife blade or point.  Missing tip.  Very flat tang.  Edges were folded back on itself and hammered flat.  Possible cut out of larger sheet?,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-57,,23,,KeNi-4C:3-57,,X copper frags. (hammered sheet/inset blades group),,10,,,,NWT,,,,31.2,y,1896,yes,"23 fragments.  Some are hammered native sheet, some are hammered nuggets, some are production flakes.  Wieght is combined.  Thickness varies from 2.92-0.95",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-57,,see above,,KeNi-4C:3-57,,X copper frags. (hammered nugget group),,01,04,,,NWT,,,,see above,y,1896,yes,"23 fragments.  Some are hammered native sheet, some are hammered nuggets, some are production flakes.  Wieght is combined.  Thickness varies from 2.92-0.95",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-57,,see above,,KeNi-4C:3-57,,X copper frags. (waste flake group),,01,05,,,NWT,,,,see above,y,1896,yes,"23 fragments.  Some are hammered native sheet, some are hammered nuggets, some are production flakes.  Wieght is combined.  Thickness varies from 2.92-0.95",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-60,,8,,KeNi-4C:3-60,,copper frags. (hammered sheet/inset blades group),,10,,,,NWT,na,na,na,9.3,y,1855,yes,"8 pieces, all production flakes or rough hammered nuggets.  Wieght combined",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-60,,see above,,KeNi-4C:3-60,,copper frags. (waste flakes group),,01,05,,,NWT,na,na,na,see above,y,1855,yes,"8 pieces, all production flakes or rough hammered nuggets.  Wieght combined",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,2-84,,2,,KeNi-4C:2-84,,copper frag.,,01,05,,,NWT,,,,<0.1,y,1881,yes,1 tiny frag,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1-7,,,,KeNi-4C:1-7,,copper frag.,,01,05,,,NWT,,,,<0.1,y,1880,yes,1 tiny frag,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1-08,,3,,KeNi-4C:1-08,,copper frags.,,01,,,,,na,na,1.66,2.5,,1858,yes,"not in original catalogue list.  3 hammered fragments. Largest is thickness measurement, wieght combined",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1-8,,4,,KeNi-4C:1-8,,copper frags.,,01,,,,NWT,na,na,1.76,5.3,y,1860,yes,4 hammered nuggets. Weight combined.  Thickness is of largest,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,1-31,,,,KeNi-4C:1-31,,copper ,,01,04,,,NWT,na,na,2.62,6.9,y,1792,yes,in catalogue - formerly labeled 'copper pcs. (one joins KeNi-4C:1-32)'.  There is a separate KeNi-4C:1-31 that is not joined as well.  That is the one described here.  ,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,3-23,,,,KeNi-4C:3-23,,copper frag.,,10,,,,NWT,33.28,20,0.93,2.2,y,1903,yes,hammered native sheet.  ,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,4-111,,,,KeNi-4C:4-111,,copper frag.,,01,05,,,NWT,na,na,1.88,1.2,y,1894,yes,"hammered nugget, small",,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeNi-4,4A-72,,6,,KeNi-4C:4A-72,,copper frags.,,01,,,,NWT,na,na,1.07,5.6,y,1789,yes,hammered flat.  6 pieces.  Thickness on largest piece,,,,,,,2015,,CMH,,,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KePl-1,49,,,,KePl-1:49,,copper nodules,,,,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1966,"Noble, Dr. William C. - McMaster University",1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KePl-1,117,,,,KePl-1:117,,Beaten copper fragment,,,,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1967,"Noble, Dr. William C. - McMaster University",1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KePl-1,,,,,,997.17.1,,,,,,,,35.68,21.71,2.43,22 (whole object),"yes, on endblade",1346-1356,yes,"metal endblade mounted on unifacially barbed harpoon foreshaft with metal rivet.  Only endblade examined with pxrf.  Total artifact length 179.68.  Rivet 4.06 mm dia, 8 mm long",,,from unprovenienced material,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KjNb-7,28-3,,,,KjNb-7:28-3,,copper arrowhead,,,,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1976,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkHh-1,110,,,,KkHh-1:110,,Small copper end-blade.,,,,,,NWT,23.89,26.1,1.73,4.9,y,1853,yes,"unsure if this is an endblade or a pendant.  Edges are sharp, it could be a blade.  Hole in the top with cordage attached.  Cordage would have been inside a haft if it was hafted.",,,,,,,2015,,CMH,1956,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkHh-1,487,,,,KkHh-1:487,,fragment of copper.,,,,,,NWT,44.42,18.24,0.61,2.3,y,1879,yes,"field bag says point, not a point.  Flat hammered piece, perhaps some form of scraper?  Ambiguous shape",,,"Native point; Sadlermiut; House #34; west platform; gen'l degris; (found at W periphery ca. 1-2"" down); July 20, 1956",,,,2015,,CMH,1956,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkHh-1,528,,,,KkHh-1:528,,perforated fragment of copper.,,,,,,NWT,25.83,16.75,1.16,1.6,y,1875,yes,"field bag says point, but I don’t think that’s what it is.  Flat piece, diamond shaped, perforated hole in middle(also slightly diamond shaped)",,,"Native point; Sadlermiut; House #34; West platform - south half, floor level; July 26, 1956",,,,2015,,CMH,1956,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkHh-1,559,,,,KkHh-1:559,,fragment copper.,,,,,,NWT,42.26,14.26,0.66,1.5,,1862,yes,hammered thin sheet,clean signal,,,,,,2015,,CMH,1956,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkJg-1,52,,,,KkJg-1:52,,"Copper needle,eyeless, square cross-section, found in no.5)",,,,,,"NWTNunavut",63.16,1.74,1.48,1.1,y,1840,yes,see description - organic material on needle,,,,,,,2015,,CMH,1967,"Merbs , Ph.D, Dr. Charles F. - Arizona State University;::Arizona State University",1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
